Simple Query1, Simple Query2, ComplexQuery1, ComplexQuery2, Simple Query1 OP, Simple Query2 OP, ComplexQuery1 OP, ComplexQuery2 OP
0.0, 0.0, 1.9359824657440186, 1.9654126167297363, 0.0010000, 0.0020000, 0.009540319442749023, 0.4774487018585205
0.0, 0.0, 2.1855506896972656, 1.8801610469818115, 0.0000000, 0.0000000, 0.008822917938232422, 0.4165213108062744
0.0, 0.0, 1.878255844116211, 1.9533064365386963, 0.0010000, 0.0000000, 0.010447978973388672, 0.40435338020324707
0.0, 0.001001119613647461, 1.4791367053985596, 1.947535753250122, 0.0010000, 0.0010000, 0.008855581283569336, 0.42157626152038574
0.0, 0.0, 1.445326805114746, 1.830897569656372, 0.0010000, 0.0000000, 0.009823083877563477, 0.4129023551940918
0.0, 0.0, 1.4564197063446045, 1.7879843711853027, 0.0010000, 0.0000000, 0.009348154067993164, 0.4110243320465088
0.0, 0.0, 1.4895908832550049, 1.8127350807189941, 0.0010000, 0.0000000, 0.009720802307128906, 0.40909552574157715
0.0, 0.0, 1.5696592330932617, 1.8405263423919678, 0.0010000, 0.0000000, 0.010395050048828125, 0.38870739936828613
0.0, 0.0, 1.8789887428283691, 2.0729310512542725, 0.0000000, 0.0000000, 0.008559465408325195, 0.39742350578308105
0.0, 0.0, 1.5294880867004395, 1.8817801475524902, 0.0000000, 0.0000000, 0.008107900619506836, 0.41746044158935547
0.0, 0.0, 1.6922931671142578, 1.829829454421997, 0.0010000, 0.0000000, 0.0086517333984375, 0.4238400459289551
0.0, 0.0, 1.590407371520996, 1.798600435256958, 0.0010000, 0.0000000, 0.010219573974609375, 0.6056399345397949
0.0, 0.0, 1.6041975021362305, 2.0091121196746826, 0.0010000, 0.0000000, 0.009654521942138672, 0.4784374237060547
0.0, 0.0, 2.1542608737945557, 1.9660708904266357, 0.0020000, 0.0000000, 0.009653568267822266, 0.4166998863220215
0.0, 0.0, 1.6932401657104492, 1.8324835300445557, 0.0010000, 0.0000000, 0.011519670486450195, 0.5378694534301758
0.0, 0.0, 1.628758192062378, 2.0004916191101074, 0.0010000, 0.0000000, 0.012907743453979492, 0.4408595561981201
0.0, 0.0, 1.4914634227752686, 1.8233821392059326, 0.0010000, 0.0000000, 0.008510112762451172, 0.4326205253601074
0.0, 0.0, 1.4805614948272705, 2.3375914096832275, 0.0010000, 0.0000000, 0.008953094482421875, 0.427976131439209
0.0, 0.0, 1.393446922302246, 2.9745161533355713, 0.0000000, 0.0000000, 0.008235931396484375, 0.3907802104949951
0.0, 0.0, 1.5583035945892334, 2.3536741733551025, 0.0010000, 0.0000000, 0.011322498321533203, 0.4445321559906006
0.0, 0.0, 1.5067775249481201, 2.144540309906006, 0.0020000, 0.0000000, 0.00987863540649414, 0.4551992416381836
0.0, 0.0, 1.6441278457641602, 1.8090898990631104, 0.0000000, 0.0000000, 0.008648157119750977, 0.3991236686706543
0.0, 0.0, 1.4662091732025146, 1.866332769393921, 0.0010000, 0.0000000, 0.00856471061706543, 0.42629289627075195
0.0, 0.0010256767272949219, 1.4837861061096191, 1.8071465492248535, 0.0010000, 0.0000000, 0.010118961334228516, 0.44548606872558594
0.0, 0.0, 1.453139305114746, 1.7972586154937744, 0.0010000, 0.0000000, 0.008017539978027344, 0.40455102920532227
0.0, 0.0, 1.4012348651885986, 1.8344297409057617, 0.0010000, 0.0000000, 0.008769512176513672, 0.44692015647888184
0.0, 0.0, 1.544541358947754, 1.8591809272766113, 0.0000000, 0.0000000, 0.008170604705810547, 0.4170043468475342
0.0, 0.0, 1.5333335399627686, 1.8912558555603027, 0.0010000, 0.0000000, 0.00760650634765625, 0.40883660316467285
0.0, 0.0, 1.520409107208252, 2.1603844165802, 0.0010000, 0.0000000, 0.009024620056152344, 0.42455482482910156
0.0, 0.0, 1.467844009399414, 1.8929100036621094, 0.0010000, 0.0000000, 0.01012277603149414, 0.4306671619415283
